,BtoB_RealState($),BtoB_SocialServ($),BtoB_ProfessActiv($),BtoB_ScientifActiv($),BtoB_Education($),BtoB_ArtistActiv($),BtoB_Other($),BtoB_FinanActiv($),BtoB_Information($),BtoB_PublicAdmin($)
600,0,94895,0,285,0,0,0,0,0,0
601,0,94895,0,285,0,0,0,0,0,0
602,0,94895,0,285,0,0,0,0,0,0
603,0,94895,0,285,0,0,0,0,0,0
604,0,94895,0,285,0,0,0,0,0,0
605,0,94895,0,285,0,0,0,0,0,0
606,0,94895,0,285,0,0,0,0,0,0
607,0,94895,0,285,0,0,0,0,0,0
608,0,94895,0,285,0,0,0,0,0,0
609,0,94895,0,285,0,0,0,0,0,0
610,0,94895,0,285,0,0,0,0,0,0
611,0,94895,0,285,0,0,0,0,0,0
612,0,94895,0,285,0,0,0,0,0,0
613,0,94895,0,285,0,0,0,0,0,0
614,0,94895,0,285,0,0,0,0,0,0
615,0,94895,0,285,0,0,0,0,0,0
616,0,94895,0,285,0,0,0,0,0,0
617,0,94895,0,285,0,0,0,0,0,0
618,0,94895,0,285,0,0,0,0,0,0
619,0,94895,0,285,0,0,0,0,0,0
620,0,94895,0,285,0,0,0,0,0,0
621,0,94895,0,285,0,0,0,0,0,0
622,0,94895,0,285,0,0,0,0,0,0
623,0,94895,0,285,0,0,0,0,0,0
624,0,94895,0,285,0,0,0,0,0,0
625,0,94895,0,285,0,0,0,0,0,0
626,0,94895,0,285,0,0,0,0,0,0
627,0,94895,0,285,0,0,0,0,0,0
628,0,94895,0,285,0,0,0,0,0,0
629,0,94895,0,285,0,0,0,0,0,0
630,0,94895,0,285,0,0,0,0,0,0
631,0,94895,0,285,0,0,0,0,0,0
632,0,94895,0,285,0,0,0,0,0,0
633,0,94895,0,285,0,0,0,0,0,0
634,0,94895,0,285,0,0,0,0,0,0
635,0,94895,0,285,0,0,0,0,0,0
636,0,94895,0,285,0,0,0,0,0,0
637,0,94895,0,285,0,0,0,0,0,0
638,0,94895,0,285,0,0,0,0,0,0
639,0,94895,0,285,0,0,0,0,0,0
640,0,94895,0,285,0,0,0,0,0,0
641,0,94895,0,285,0,0,0,0,0,0
642,0,94895,0,285,0,0,0,0,0,0
643,0,94895,0,285,0,0,0,0,0,0
644,0,94895,0,285,0,0,0,0,0,0
645,0,94895,0,285,0,0,0,0,0,0
646,0,94895,0,285,0,0,0,0,0,0
647,0,94895,0,285,0,0,0,0,0,0
648,0,94895,0,285,0,0,0,0,0,0
649,0,94895,0,285,0,0,0,0,0,0
650,0,94895,0,285,0,0,0,0,0,0
651,0,94895,0,285,0,0,0,0,0,0
652,0,94895,0,285,0,0,0,0,0,0
653,0,94895,0,285,0,0,0,0,0,0
654,0,94895,0,285,0,0,0,0,0,0
655,0,94895,0,285,0,0,0,0,0,0
656,0,94895,0,285,0,0,0,0,0,0
657,0,94895,0,285,0,0,0,0,0,0
658,0,94895,0,285,0,0,0,0,0,0
659,0,94895,0,285,0,0,0,0,0,0
660,0,94895,0,285,0,0,0,0,0,0
661,0,94895,0,285,0,0,0,0,0,0
662,0,94895,0,285,0,0,0,0,0,0
663,0,94895,0,285,0,0,0,0,0,0
664,0,94895,0,285,0,0,0,0,0,0
665,0,94895,0,285,0,0,0,0,0,0
666,0,94895,0,285,0,0,0,0,0,0
667,0,94895,0,285,0,0,0,0,0,0
668,0,94895,0,285,0,0,0,0,0,0
669,0,94895,0,285,0,0,0,0,0,0
670,0,94895,0,285,0,0,0,0,0,0
671,0,94895,0,285,0,0,0,0,0,0
672,0,94895,0,285,0,0,0,0,0,0
673,0,94895,0,285,0,0,0,0,0,0
674,0,94895,0,285,0,0,0,0,0,0
675,0,94895,0,285,0,0,0,0,0,0
676,0,94895,0,285,0,0,0,0,0,0
677,0,94895,0,285,0,0,0,0,0,0
678,0,94895,0,285,0,0,0,0,0,0
679,0,94895,0,285,0,0,0,0,0,0
680,0,94895,0,285,0,0,0,0,0,0
681,0,94895,0,285,0,0,0,0,0,0
682,0,94895,0,285,0,0,0,0,0,0
683,0,94895,0,285,0,0,0,0,0,0
684,0,94895,0,285,0,0,0,0,0,0
685,0,94895,0,285,0,0,0,0,0,0
686,0,94895,0,285,0,0,0,0,0,0
687,0,94895,0,285,0,0,0,0,0,0
688,0,94895,0,285,0,0,0,0,0,0
689,0,94895,0,285,0,0,0,0,0,0
690,0,94895,0,285,0,0,0,0,0,0
691,0,94895,0,285,0,0,0,0,0,0
692,0,94895,0,285,0,0,0,0,0,0
693,0,94895,0,285,0,0,0,0,0,0
694,0,94895,0,285,0,0,0,0,0,0
695,0,94895,0,285,0,0,0,0,0,0
696,0,94895,0,285,0,0,0,0,0,0
697,0,94895,0,285,0,0,0,0,0,0
698,0,94895,0,285,0,0,0,0,0,0
699,0,94895,0,285,0,0,0,0,0,0
700,0,94895,0,285,0,0,0,0,0,0
701,0,94895,0,285,0,0,0,0,0,0
702,0,94895,0,285,0,0,0,0,0,0
703,0,94895,0,285,0,0,0,0,0,0
704,0,94895,0,285,0,0,0,0,0,0
705,0,94895,0,285,0,0,0,0,0,0
706,0,94895,0,285,0,0,0,0,0,0
707,0,94895,0,285,0,0,0,0,0,0
708,0,94895,0,285,0,0,0,0,0,0
709,0,94895,0,285,0,0,0,0,0,0
710,0,94895,0,285,0,0,0,0,0,0
711,0,94895,0,285,0,0,0,0,0,0
712,0,94895,0,285,0,0,0,0,0,0
713,0,94895,0,285,0,0,0,0,0,0
714,0,94895,0,285,0,0,0,0,0,0
715,0,94895,0,285,0,0,0,0,0,0
716,0,94895,0,285,0,0,0,0,0,0
717,0,94895,0,285,0,0,0,0,0,0
718,0,94895,0,285,0,0,0,0,0,0
719,0,94895,0,285,0,0,0,0,0,0
720,0,94895,0,285,0,0,0,0,0,0
721,0,94895,0,285,0,0,0,0,0,0
722,0,94895,0,285,0,0,0,0,0,0
723,0,94895,0,285,0,0,0,0,0,0
724,0,94895,0,285,0,0,0,0,0,0
725,0,94895,0,285,0,0,0,0,0,0
726,0,94895,0,285,0,0,0,0,0,0
727,0,94895,0,285,0,0,0,0,0,0
728,0,94895,0,285,0,0,0,0,0,0
729,0,94895,0,285,0,0,0,0,0,0
730,0,94895,0,285,0,0,0,0,0,0
731,0,94895,0,285,0,0,0,0,0,0
732,0,94895,0,285,0,0,0,0,0,0
733,0,94895,0,285,0,0,0,0,0,0
734,0,94895,0,285,0,0,0,0,0,0
735,0,94895,0,285,0,0,0,0,0,0
736,0,94895,0,285,0,0,0,0,0,0
737,0,94895,0,285,0,0,0,0,0,0
738,0,94895,0,285,0,0,0,0,0,0
739,0,94895,0,285,0,0,0,0,0,0
740,0,94895,0,285,0,0,0,0,0,0
741,0,94895,0,285,0,0,0,0,0,0
742,0,94895,0,285,0,0,0,0,0,0
743,0,94895,0,285,0,0,0,0,0,0
744,0,94895,0,285,0,0,0,0,0,0
745,0,94895,0,285,0,0,0,0,0,0
746,0,94895,0,285,0,0,0,0,0,0
747,0,94895,0,285,0,0,0,0,0,0
748,0,94895,0,285,0,0,0,0,0,0
749,0,94895,0,285,0,0,0,0,0,0
750,0,94895,0,285,0,0,0,0,0,0
751,0,94895,0,285,0,0,0,0,0,0
752,0,94895,0,285,0,0,0,0,0,0
753,0,94895,0,285,0,0,0,0,0,0
754,0,94895,0,285,0,0,0,0,0,0
755,0,94895,0,285,0,0,0,0,0,0
756,0,94895,0,285,0,0,0,0,0,0
757,0,94895,0,285,0,0,0,0,0,0
758,0,94895,0,285,0,0,0,0,0,0
759,0,94895,0,285,0,0,0,0,0,0
760,0,94895,0,285,0,0,0,0,0,0
761,0,94895,0,285,0,0,0,0,0,0
762,0,94895,0,285,0,0,0,0,0,0
763,0,94895,0,285,0,0,0,0,0,0
764,0,94895,0,285,0,0,0,0,0,0
765,0,94895,0,285,0,0,0,0,0,0
766,0,94895,0,285,0,0,0,0,0,0
767,0,94895,0,285,0,0,0,0,0,0
768,0,94895,0,285,0,0,0,0,0,0
769,0,94895,0,285,0,0,0,0,0,0
770,0,94895,0,285,0,0,0,0,0,0
771,0,94895,0,285,0,0,0,0,0,0
772,0,94895,0,285,0,0,0,0,0,0
773,0,94895,0,285,0,0,0,0,0,0
774,0,94895,0,285,0,0,0,0,0,0
775,0,94895,0,285,0,0,0,0,0,0
776,0,94895,0,285,0,0,0,0,0,0
777,0,94895,0,285,0,0,0,0,0,0
778,0,94895,0,285,0,0,0,0,0,0
779,0,94895,0,285,0,0,0,0,0,0
780,0,94895,0,285,0,0,0,0,0,0
781,0,94895,0,285,0,0,0,0,0,0
782,0,94895,0,285,0,0,0,0,0,0
783,0,94895,0,285,0,0,0,0,0,0
784,0,94895,0,285,0,0,0,0,0,0
785,0,94895,0,285,0,0,0,0,0,0
786,0,94895,0,285,0,0,0,0,0,0
787,0,94895,0,285,0,0,0,0,0,0
788,0,94895,0,285,0,0,0,0,0,0
789,0,94895,0,285,0,0,0,0,0,0
790,0,94895,0,285,0,0,0,0,0,0
791,0,94895,0,285,0,0,0,0,0,0
792,0,94895,0,285,0,0,0,0,0,0
793,0,94895,0,285,0,0,0,0,0,0
794,0,94895,0,285,0,0,0,0,0,0
795,0,94895,0,285,0,0,0,0,0,0
796,0,94895,0,285,0,0,0,0,0,0
797,0,94895,0,285,0,0,0,0,0,0
798,0,94895,0,285,0,0,0,0,0,0
799,0,94895,0,285,0,0,0,0,0,0
800,0,94895,0,285,0,0,0,0,0,0
801,0,94895,0,285,0,0,0,0,0,0
802,0,94895,0,285,0,0,0,0,0,0
803,0,94895,0,285,0,0,0,0,0,0
804,0,94895,0,285,0,0,0,0,0,0
805,0,94895,0,285,0,0,0,0,0,0
806,0,94895,0,285,0,0,0,0,0,0
807,0,94895,0,285,0,0,0,0,0,0
808,0,94895,0,285,0,0,0,0,0,0
809,0,94895,0,285,0,0,0,0,0,0
810,0,94895,0,285,0,0,0,0,0,0
811,0,94895,0,285,0,0,0,0,0,0
812,0,94895,0,285,0,0,0,0,0,0
813,0,94895,0,285,0,0,0,0,0,0
814,0,94895,0,285,0,0,0,0,0,0
815,0,94895,0,285,0,0,0,0,0,0
816,0,94895,0,285,0,0,0,0,0,0
817,0,94895,0,285,0,0,0,0,0,0
818,0,94895,0,285,0,0,0,0,0,0
819,0,94895,0,285,0,0,0,0,0,0
820,0,94895,0,285,0,0,0,0,0,0
821,0,94895,0,285,0,0,0,0,0,0
822,0,94895,0,285,0,0,0,0,0,0
823,0,94895,0,285,0,0,0,0,0,0
824,0,94895,0,285,0,0,0,0,0,0
825,0,94895,0,285,0,0,0,0,0,0
826,0,94895,0,285,0,0,0,0,0,0
827,0,94895,0,285,0,0,0,0,0,0
828,0,94895,0,285,0,0,0,0,0,0
829,0,94895,0,285,0,0,0,0,0,0
830,0,94895,0,285,0,0,0,0,0,0
831,0,94895,0,285,0,0,0,0,0,0
832,0,94895,0,285,0,0,0,0,0,0
833,0,94895,0,285,0,0,0,0,0,0
834,0,94895,0,285,0,0,0,0,0,0
835,0,94895,0,285,0,0,0,0,0,0
836,0,94895,0,285,0,0,0,0,0,0
837,0,94895,0,285,0,0,0,0,0,0
838,0,94895,0,285,0,0,0,0,0,0
839,0,94895,0,285,0,0,0,0,0,0
840,0,94895,0,285,0,0,0,0,0,0
841,0,94895,0,285,0,0,0,0,0,0
842,0,94895,0,285,0,0,0,0,0,0
843,0,94895,0,285,0,0,0,0,0,0
844,0,94895,0,285,0,0,0,0,0,0
845,0,94895,0,285,0,0,0,0,0,0
846,0,94895,0,285,0,0,0,0,0,0
847,0,94895,0,285,0,0,0,0,0,0
848,0,94895,0,285,0,0,0,0,0,0
849,0,94895,0,285,0,0,0,0,0,0
850,0,94895,0,285,0,0,0,0,0,0
851,0,94895,0,285,0,0,0,0,0,0
852,0,94895,0,285,0,0,0,0,0,0
853,0,94895,0,285,0,0,0,0,0,0
854,0,94895,0,285,0,0,0,0,0,0
855,0,94895,0,285,0,0,0,0,0,0
856,0,94895,0,285,0,0,0,0,0,0
857,0,94895,0,285,0,0,0,0,0,0
858,0,94895,0,285,0,0,0,0,0,0
859,0,94895,0,285,0,0,0,0,0,0
860,0,94895,0,285,0,0,0,0,0,0
861,0,94895,0,285,0,0,0,0,0,0
862,0,94895,0,285,0,0,0,0,0,0
863,0,94895,0,285,0,0,0,0,0,0
864,0,94895,0,285,0,0,0,0,0,0
865,0,94895,0,285,0,0,0,0,0,0
866,0,94895,0,285,0,0,0,0,0,0
867,0,94895,0,285,0,0,0,0,0,0
868,0,94895,0,285,0,0,0,0,0,0
869,0,94895,0,285,0,0,0,0,0,0
870,0,94895,0,285,0,0,0,0,0,0
871,0,94895,0,285,0,0,0,0,0,0
872,0,94895,0,285,0,0,0,0,0,0
873,0,94895,0,285,0,0,0,0,0,0
874,0,94895,0,285,0,0,0,0,0,0
875,0,94895,0,285,0,0,0,0,0,0
876,0,94895,0,285,0,0,0,0,0,0
877,0,94895,0,285,0,0,0,0,0,0
878,0,94895,0,285,0,0,0,0,0,0
879,0,94895,0,285,0,0,0,0,0,0
880,0,94895,0,285,0,0,0,0,0,0
881,0,94895,0,285,0,0,0,0,0,0
882,0,94895,0,285,0,0,0,0,0,0
883,0,94895,0,285,0,0,0,0,0,0
884,0,94895,0,285,0,0,0,0,0,0
885,0,94895,0,285,0,0,0,0,0,0
886,0,94895,0,285,0,0,0,0,0,0
887,0,94895,0,285,0,0,0,0,0,0
888,0,94895,0,285,0,0,0,0,0,0
889,0,94895,0,285,0,0,0,0,0,0
890,0,94895,0,285,0,0,0,0,0,0
891,0,94895,0,285,0,0,0,0,0,0
892,0,94895,0,285,0,0,0,0,0,0
893,0,94895,0,285,0,0,0,0,0,0
894,0,94895,0,285,0,0,0,0,0,0
895,0,94895,0,285,0,0,0,0,0,0
896,0,94895,0,285,0,0,0,0,0,0
897,0,94895,0,285,0,0,0,0,0,0
898,0,94895,0,285,0,0,0,0,0,0
899,0,94895,0,285,0,0,0,0,0,0
900,0,94895,0,285,0,0,0,0,0,0
901,0,94895,0,285,0,0,0,0,0,0
902,0,94895,0,285,0,0,0,0,0,0
903,0,94895,0,285,0,0,0,0,0,0
904,0,94895,0,285,0,0,0,0,0,0
905,0,94895,0,285,0,0,0,0,0,0
906,0,94895,0,285,0,0,0,0,0,0
907,0,94895,0,285,0,0,0,0,0,0
908,0,94895,0,285,0,0,0,0,0,0
909,0,94895,0,285,0,0,0,0,0,0
910,0,94895,0,285,0,0,0,0,0,0
911,0,94895,0,285,0,0,0,0,0,0
912,0,94895,0,285,0,0,0,0,0,0
913,0,94895,0,285,0,0,0,0,0,0
914,0,94895,0,285,0,0,0,0,0,0
915,0,94895,0,285,0,0,0,0,0,0
916,0,94895,0,285,0,0,0,0,0,0
917,0,94895,0,285,0,0,0,0,0,0
918,0,94895,0,285,0,0,0,0,0,0
919,0,94895,0,285,0,0,0,0,0,0
920,0,94895,0,285,0,0,0,0,0,0
921,0,94895,0,285,0,0,0,0,0,0
922,0,94895,0,285,0,0,0,0,0,0
923,0,94895,0,285,0,0,0,0,0,0
924,0,94895,0,285,0,0,0,0,0,0
925,0,94895,0,285,0,0,0,0,0,0
926,0,94895,0,285,0,0,0,0,0,0
927,0,94895,0,285,0,0,0,0,0,0
928,0,94895,0,285,0,0,0,0,0,0
929,0,94895,0,285,0,0,0,0,0,0
930,0,94895,0,285,0,0,0,0,0,0
931,0,94895,0,285,0,0,0,0,0,0
932,0,94895,0,285,0,0,0,0,0,0
933,0,94895,0,285,0,0,0,0,0,0
934,0,94895,0,285,0,0,0,0,0,0
935,0,94895,0,285,0,0,0,0,0,0
936,0,94895,0,285,0,0,0,0,0,0
937,0,94895,0,285,0,0,0,0,0,0
938,0,94895,0,285,0,0,0,0,0,0
939,0,94895,0,285,0,0,0,0,0,0
940,0,94895,0,285,0,0,0,0,0,0
941,0,94895,0,285,0,0,0,0,0,0
942,0,94895,0,285,0,0,0,0,0,0
943,0,94895,0,285,0,0,0,0,0,0
944,0,94895,0,285,0,0,0,0,0,0
945,0,94895,0,285,0,0,0,0,0,0
946,0,94895,0,285,0,0,0,0,0,0
947,0,94895,0,285,0,0,0,0,0,0
948,0,94895,0,285,0,0,0,0,0,0
949,0,94895,0,285,0,0,0,0,0,0
950,0,94895,0,285,0,0,0,0,0,0
951,0,94895,0,285,0,0,0,0,0,0
952,0,94895,0,285,0,0,0,0,0,0
953,0,94895,0,285,0,0,0,0,0,0
954,0,94895,0,285,0,0,0,0,0,0
955,0,94895,0,285,0,0,0,0,0,0
956,0,94895,0,285,0,0,0,0,0,0
957,0,94895,0,285,0,0,0,0,0,0
958,0,94895,0,285,0,0,0,0,0,0
959,0,94895,0,285,0,0,0,0,0,0
960,0,94895,0,285,0,0,0,0,0,0
961,0,94895,0,285,0,0,0,0,0,0
962,0,94895,0,285,0,0,0,0,0,0
963,0,94895,0,285,0,0,0,0,0,0
964,0,94895,0,285,0,0,0,0,0,0
965,0,94895,0,285,0,0,0,0,0,0
966,0,94895,0,285,0,0,0,0,0,0
967,0,94895,0,285,0,0,0,0,0,0
968,0,94895,0,285,0,0,0,0,0,0
969,0,94895,0,285,0,0,0,0,0,0
970,0,94895,0,285,0,0,0,0,0,0
971,0,94895,0,285,0,0,0,0,0,0
972,0,94895,0,285,0,0,0,0,0,0
973,0,94895,0,285,0,0,0,0,0,0
974,0,94895,0,285,0,0,0,0,0,0
975,0,94895,0,285,0,0,0,0,0,0
976,0,94895,0,285,0,0,0,0,0,0
977,0,94895,0,285,0,0,0,0,0,0
978,0,94895,0,285,0,0,0,0,0,0
979,0,94895,0,285,0,0,0,0,0,0
980,0,94895,0,285,0,0,0,0,0,0
981,0,94895,0,285,0,0,0,0,0,0
982,0,94895,0,285,0,0,0,0,0,0
983,0,94895,0,285,0,0,0,0,0,0
984,0,94895,0,285,0,0,0,0,0,0
985,0,94895,0,285,0,0,0,0,0,0
986,0,94895,0,285,0,0,0,0,0,0
987,0,94895,0,285,0,0,0,0,0,0
988,0,94895,0,285,0,0,0,0,0,0
989,0,94895,0,285,0,0,0,0,0,0
990,0,94895,0,285,0,0,0,0,0,0
991,0,94895,0,285,0,0,0,0,0,0
992,0,94895,0,285,0,0,0,0,0,0
993,0,94895,0,285,0,0,0,0,0,0
994,0,94895,0,285,0,0,0,0,0,0
995,0,94895,0,285,0,0,0,0,0,0
996,0,94895,0,285,0,0,0,0,0,0
997,0,94895,0,285,0,0,0,0,0,0
998,0,94895,0,285,0,0,0,0,0,0
999,0,94895,0,285,0,0,0,0,0,0
1000,0,94895,0,285,0,0,0,0,0,0
1001,0,94895,0,285,0,0,0,0,0,0
1002,0,94895,0,285,0,0,0,0,0,0
1003,0,94895,0,285,0,0,0,0,0,0
1004,0,94895,0,285,0,0,0,0,0,0
1005,0,94895,0,285,0,0,0,0,0,0
1006,0,94895,0,285,0,0,0,0,0,0
1007,0,94895,0,285,0,0,0,0,0,0
1008,0,94895,0,285,0,0,0,0,0,0
1009,0,94895,0,285,0,0,0,0,0,0
1010,0,94895,0,285,0,0,0,0,0,0
1011,0,94895,0,285,0,0,0,0,0,0
1012,0,94895,0,285,0,0,0,0,0,0
1013,0,94895,0,285,0,0,0,0,0,0
1014,0,94895,0,285,0,0,0,0,0,0
1015,0,94895,0,285,0,0,0,0,0,0
1016,0,94895,0,285,0,0,0,0,0,0
1017,0,94895,0,285,0,0,0,0,0,0
1018,0,94895,0,285,0,0,0,0,0,0
1019,0,94895,0,285,0,0,0,0,0,0
1020,0,94895,0,285,0,0,0,0,0,0
1021,0,94895,0,285,0,0,0,0,0,0
1022,0,94895,0,285,0,0,0,0,0,0
1023,0,94895,0,285,0,0,0,0,0,0
1024,0,94895,0,285,0,0,0,0,0,0
1025,0,94895,0,285,0,0,0,0,0,0
1026,0,94895,0,285,0,0,0,0,0,0
1027,0,94895,0,285,0,0,0,0,0,0
1028,0,94895,0,285,0,0,0,0,0,0
1029,0,94895,0,285,0,0,0,0,0,0
1030,0,94895,0,285,0,0,0,0,0,0
1031,0,94895,0,285,0,0,0,0,0,0
1032,0,94895,0,285,0,0,0,0,0,0
1033,0,94895,0,285,0,0,0,0,0,0
1034,0,94895,0,285,0,0,0,0,0,0
1035,0,94895,0,285,0,0,0,0,0,0
1036,0,94895,0,285,0,0,0,0,0,0
1037,0,94895,0,285,0,0,0,0,0,0
1038,0,94895,0,285,0,0,0,0,0,0
1039,0,94895,0,285,0,0,0,0,0,0
1040,0,94895,0,285,0,0,0,0,0,0
1041,0,94895,0,285,0,0,0,0,0,0
1042,0,94895,0,285,0,0,0,0,0,0
1043,0,94895,0,285,0,0,0,0,0,0
1044,0,94895,0,285,0,0,0,0,0,0
1045,0,94895,0,285,0,0,0,0,0,0
1046,0,94895,0,285,0,0,0,0,0,0
1047,0,94895,0,285,0,0,0,0,0,0
1048,0,94895,0,285,0,0,0,0,0,0
1049,0,94895,0,285,0,0,0,0,0,0
1050,0,94895,0,285,0,0,0,0,0,0
1051,0,94895,0,285,0,0,0,0,0,0
1052,0,94895,0,285,0,0,0,0,0,0
1053,0,94895,0,285,0,0,0,0,0,0
1054,0,94895,0,285,0,0,0,0,0,0
1055,0,94895,0,285,0,0,0,0,0,0
